0,1,2
"['Clinical Nurse Specialists', array([12., 49., 85., 24., 54., 66.]), 0.972866700263543]","['临床医学', '健康服务与管理', '医学检验技术', '妇幼保健医学', '康复治疗学', '护理学', '精神医学', '预防医学']",SIC
"['Hospitalists', array([ 9., 36., 84., 44., 53., 61.]), 0.9122078528293531]",[],SIC
"['Dietitians and Nutritionists', array([23., 40., 75., 34., 39., 63.]), 0.9039772569944386]","['临床医学', '预防医学', '食品科学与工程', '食品营养与检验教育', '食品质量与安全']",SIE
"['Patient Representatives', array([10., 35., 96.,  5., 45., 51.]), 0.8699113172598175]",[],SIC
"['Probation Officers and Correctional Treatment Specialists', array([20., 48., 77., 21., 52., 41.]), 0.8688624352121509]","['人类学', '公共事业管理', '劳动与社会保障', '应用心理学', '心理学', '特殊教育', '社会学', '社会工作']",SCE
"['Nurse Midwives', array([15., 32., 81., 40., 40., 56.]), 0.8676877841083304]",[],SIC
"['Farm and Home Management Educators', array([22., 42., 64., 49., 36., 55.]), 0.8387620492131173]","['产品设计', '人力资源管理', '农业资源与环境', '农学', '农艺教育', '动物医学', '动物科学', '动物药学', '园林', '园艺', '学前教育', '家庭教育', '家政学', '应用心理学', '心理学', '教育学', '服装设计与工程', '林学', '森林保护', '植物保护', '植物科学与技术', '特殊教育', '社会工作', '种子科学与工程', '艺术与科技', '茶学', '草业科学', '葡萄与葡萄酒工程', '蚕学', '设施农业科学与工程', '轻化工程', '野生动物与自然保护区管理', '预防医学', '食品科学与工程', '食品质量与安全']",SIR
"['Emergency Medicine Physicians', array([ 0., 29., 76., 53., 53., 77.]), 0.8372404352916432]",[],ISC
"['Health Education Specialists', array([26., 37., 86., 11., 50., 72.]), 0.8267388463062325]","['临床医学', '健康服务与管理', '儿科学', '全球健康学', '卫生检验与检疫', '卫生监督', '妇幼保健医学', '应用心理学', '心理学', '护理学', '社会工作', '预防医学', '食品卫生与营养学']",SIC
"['Pharmacists', array([ 8., 26., 64., 31., 61., 78.]), 0.8218346186612778]",[],ISC
"['Economics Teachers, Postsecondary', array([34., 40., 87., 29., 48., 76.]), 0.8167166654948421]",[],SIC
"['Registered Nurses', array([ 5., 21., 77., 44., 60., 64.]), 0.8145569334276966]","['临床医学', '健康服务与管理', '医学检验技术', '妇幼保健医学', '康复治疗学', '护理学', '精神医学', '预防医学']",SIC
"['Family Medicine Physicians', array([ 8., 22., 87., 46., 49., 85.]), 0.8106932128502551]",[],SIC
"['Community Health Workers', array([21., 42., 93., 16., 39., 42.]), 0.8060763997157601]","['儿科学', '医学实验技术', '卫生检验与检疫', '卫生监督', '妇幼保健医学', '社会工作', '食品卫生与营养学']",SIE
"['Pediatricians, General', array([13., 25., 94., 46., 42., 87.]), 0.8012027131079252]",[],SIR
"['Midwives', array([13., 28., 83., 46., 43., 48.]), 0.7967668050132685]","['临床医学', '健康服务与管理', '医学检验技术', '康复治疗学', '护理学', '预防医学']",SIR
"['Emergency Management Directors', array([13., 67., 50., 43., 61., 59.]), 0.7945705616165523]","['土木工程', '地理信息科学', '地质工程', '城乡规划', '安全工程', '应急管理', '环境科学']",ECI
"['Physician Assistants', array([ 4., 18., 80., 47., 59., 66.]), 0.7917601692304648]",[],SIC
"['Nurse Practitioners', array([ 5., 19., 73., 45., 55., 75.]), 0.7913863613896794]","['临床医学', '妇幼保健医学', '康复治疗学', '护理学', '预防医学']",ISC
"['Genetic Counselors', array([22., 29., 74., 11., 48., 81.]), 0.7889561459318862]",[],ISC
