展示名称,ID,创建人,创建时间,更新人,更新时间,专业名称,专业代码,专业 ID,学门,专业大类,级别,父级分类,生效状态
法学类,1785891813410859,纪嘉澍,2023-12-21 20:32,纪嘉澍,2023-12-21 21:00,法学类,,,,,专业大类,学门:法学,生效中
公安学类,1785891813408843,纪嘉澍,2023-12-21 20:32,纪嘉澍,2023-12-21 21:00,公安学类,,,,,专业大类,学门:法学,生效中
马克思主义理论类,1785891813719216,纪嘉澍,2023-12-21 20:32,纪嘉澍,2023-12-21 21:00,马克思主义理论类,,,,,专业大类,学门:法学,生效中
民族学类,1785891813408891,纪嘉澍,2023-12-21 20:32,纪嘉澍,2023-12-21 21:00,民族学类,,,,,专业大类,学门:法学,生效中
社会学类,1785891813401899,纪嘉澍,2023-12-21 20:32,纪嘉澍,2023-12-21 21:00,社会学类,,,,,专业大类,学门:法学,生效中
政治学类,1785891813405739,纪嘉澍,2023-12-21 20:32,纪嘉澍,2023-12-21 21:00,政治学类,,,,,专业大类,学门:法学,生效中
安全科学与工程类,1785891813406731,纪嘉澍,2023-12-21 20:32,纪嘉澍,2023-12-21 21:00,安全科学与工程类,,,,,专业大类,学门:工学,生效中
兵器类,1785891813413083,纪嘉澍,2023-12-21 20:32,纪嘉澍,2023-12-21 21:00,兵器类,,,,,专业大类,学门:工学,生效中
材料类,1785891813408859,纪嘉澍,2023-12-21 20:32,纪嘉澍,2023-12-21 21:00,材料类,,,,,专业大类,学门:工学,生效中
测绘类,1785891813407851,纪嘉澍,2023-12-21 20:32,纪嘉澍,2023-12-21 21:00,测绘类,,,,,专业大类,学门:工学,生效中
电气类,1785891813409867,纪嘉澍,2023-12-21 20:32,纪嘉澍,2023-12-21 21:00,电气类,,,,,专业大类,学门:工学,生效中
电子信息类,1785891813410827,纪嘉澍,2023-12-21 20:32,纪嘉澍,2023-12-21 21:00,电子信息类,,,,,专业大类,学门:工学,生效中
地质类,1785891813405723,纪嘉澍,2023-12-21 20:32,纪嘉澍,2023-12-21 21:00,地质类,,,,,专业大类,学门:工学,生效中
纺织类,1785891813411947,纪嘉澍,2023-12-21 20:32,纪嘉澍,2023-12-21 21:00,纺织类,,,,,专业大类,学门:工学,生效中
公安技术类,1785891813400875,纪嘉澍,2023-12-21 20:32,纪嘉澍,2023-12-21 21:00,公安技术类,,,,,专业大类,学门:工学,生效中
海洋工程类,1785891813401931,纪嘉澍,2023-12-21 20:32,纪嘉澍,2023-12-21 21:00,海洋工程类,,,,,专业大类,学门:工学,生效中
航空航天类,1785891813410843,纪嘉澍,2023-12-21 20:32,纪嘉澍,2023-12-21 21:00,航空航天类,,,,,专业大类,学门:工学,生效中
核工程类,1785891813413131,纪嘉澍,2023-12-21 20:32,纪嘉澍,2023-12-21 21:00,核工程类,,,,,专业大类,学门:工学,生效中
环境科学与工程类,1785891813408875,纪嘉澍,2023-12-21 20:32,纪嘉澍,2023-12-21 21:00,环境科学与工程类,,,,,专业大类,学门:工学,生效中
化工与制药类,1785891813413099,纪嘉澍,2023-12-21 20:32,纪嘉澍,2023-12-21 21:00,化工与制药类,,,,,专业大类,学门:工学,生效中
建筑类,1785891813411915,纪嘉澍,2023-12-21 20:32,纪嘉澍,2023-12-21 21:00,建筑类,,,,,专业大类,学门:工学,生效中
交通运输类,1785891813409851,纪嘉澍,2023-12-21 20:32,纪嘉澍,2023-12-21 21:00,交通运输类,,,,,专业大类,学门:工学,生效中
计算机类,1785891813402891,纪嘉澍,2023-12-21 20:32,纪嘉澍,2023-12-21 21:00,计算机类,,,,,专业大类,学门:工学,生效中
机械类,1785891813404059,纪嘉澍,2023-12-21 20:32,纪嘉澍,2023-12-21 21:00,机械类,,,,,专业大类,学门:工学,生效中
矿业类,1785891813409819,纪嘉澍,2023-12-21 20:32,纪嘉澍,2023-12-21 21:00,矿业类,,,,,专业大类,学门:工学,生效中
林业工程类,1785891813406763,纪嘉澍,2023-12-21 20:32,纪嘉澍,2023-12-21 21:00,林业工程类,,,,,专业大类,学门:工学,生效中
力学类,1785891813402923,纪嘉澍,2023-12-21 20:32,纪嘉澍,2023-12-21 21:00,力学类,,,,,专业大类,学门:工学,生效中
能源动力类,1785891813401883,纪嘉澍,2023-12-21 20:32,纪嘉澍,2023-12-21 21:00,能源动力类,,,,,专业大类,学门:工学,生效中
农业工程类,1785891813411931,纪嘉澍,2023-12-21 20:32,纪嘉澍,2023-12-21 21:00,农业工程类,,,,,专业大类,学门:工学,生效中
轻工类,1785891813407867,纪嘉澍,2023-12-21 20:32,纪嘉澍,2023-12-21 21:00,轻工类,,,,,专业大类,学门:工学,生效中
生物工程类,1785891813409835,纪嘉澍,2023-12-21 20:32,纪嘉澍,2023-12-21 21:00,生物工程类,,,,,专业大类,学门:工学,生效中
生物医学工程类,1785891813404075,纪嘉澍,2023-12-21 20:32,纪嘉澍,2023-12-21 21:00,生物医学工程类,,,,,专业大类,学门:工学,生效中
食品科学与工程类,1785891813405755,纪嘉澍,2023-12-21 20:32,纪嘉澍,2023-12-21 21:00,食品科学与工程类,,,,,专业大类,学门:工学,生效中
水利类,1785891813719184,纪嘉澍,2023-12-21 20:32,纪嘉澍,2023-12-21 21:00,水利类,,,,,专业大类,学门:工学,生效中
土木类,1785891813406779,纪嘉澍,2023-12-21 20:32,纪嘉澍,2023-12-21 21:00,土木类,,,,,专业大类,学门:工学,生效中
仪器类,1785891813400859,纪嘉澍,2023-12-21 20:32,纪嘉澍,2023-12-21 21:00,仪器类,,,,,专业大类,学门:工学,生效中
自动化类,1785891813405707,纪嘉澍,2023-12-21 20:32,纪嘉澍,2023-12-21 21:00,自动化类,,,,,专业大类,学门:工学,生效中
电子商务类,1785891813406747,纪嘉澍,2023-12-21 20:32,纪嘉澍,2023-12-21 21:00,电子商务类,,,,,专业大类,学门:管理学,生效中
公共管理类,1785891813719200,纪嘉澍,2023-12-21 20:32,纪嘉澍,2023-12-21 21:00,公共管理类,,,,,专业大类,学门:管理学,生效中
工商管理类,1785891813401915,纪嘉澍,2023-12-21 20:32,纪嘉澍,2023-12-21 21:00,工商管理类,,,,,专业大类,学门:管理学,生效中
工业工程类,1785891813407819,纪嘉澍,2023-12-21 20:32,纪嘉澍,2023-12-21 21:00,工业工程类,,,,,专业大类,学门:管理学,生效中
管理科学与工程类,1785891813411963,纪嘉澍,2023-12-21 20:32,纪嘉澍,2023-12-21 21:00,管理科学与工程类,,,,,专业大类,学门:管理学,生效中
旅游管理类,1785891813402907,纪嘉澍,2023-12-21 20:32,纪嘉澍,2023-12-21 21:00,旅游管理类,,,,,专业大类,学门:管理学,生效中
农业经济管理类,1785891813410875,纪嘉澍,2023-12-21 20:32,纪嘉澍,2023-12-21 21:00,农业经济管理类,,,,,专业大类,学门:管理学,生效中
图书情报与档案管理类,1785891813413115,纪嘉澍,2023-12-21 20:32,纪嘉澍,2023-12-21 21:00,图书情报与档案管理类,,,,,专业大类,学门:管理学,生效中
物流管理与工程类,1785891813407835,纪嘉澍,2023-12-21 20:32,纪嘉澍,2023-12-21 21:00,物流管理与工程类,,,,,专业大类,学门:管理学,生效中
