展示名称,ID,创建人,创建时间,更新人,更新时间,标签名称,标签状态,父级标签,标签描述
浙江大学招生办,1789119995763819,朱骅,2024-01-26 11:55,朱骅,2024-01-26 11:55,浙江大学招生办,生效中,,
同济大学招生办,1789119722429481,朱骅,2024-01-26 11:55,朱骅,2024-01-26 11:55,同济大学招生办,生效中,,
复旦大学招生办,1789119161469081,朱骅,2024-01-26 11:54,朱骅,2024-01-26 11:54,复旦大学招生办,生效中,,
上海交通大学招生办,1789118401557609,朱骅,2024-01-26 11:54,朱骅,2024-01-26 11:54,上海交大招生办,生效中,,
北京大学招生办,1789118586030195,朱骅,2024-01-26 11:53,朱骅,2024-01-26 11:53,北京大学招生办,生效中,,
上海交大新闻站,1788414851726404,朱骅,2024-01-18 17:55,朱骅,2024-01-18 18:05,上海交大新闻站,生效中,来源标签,
复旦大学新闻站,1787868602287129,朱骅,2024-01-12 17:22,朱骅,2024-01-12 17:22,复旦大学新闻站,生效中,来源标签,
浙江大学新闻站,1787868769658938,朱骅,2024-01-12 17:17,朱骅,2024-01-12 17:17,浙江大学新闻站,生效中,来源标签,
同济大学新闻站,1787874213018676,朱骅,2024-01-12 17:16,朱骅,2024-01-12 17:16,同济大学新闻站,生效中,来源标签,
技术,1787769229007963,纪嘉澍,2024-01-11 16:09,纪嘉澍,2024-01-11 16:09,技术,生效中,学科,
政治,1787767708552235,纪嘉澍,2024-01-11 16:09,纪嘉澍,2024-01-11 16:09,政治,生效中,学科,
地理,1787773108972587,纪嘉澍,2024-01-11 16:08,纪嘉澍,2024-01-11 16:08,地理,生效中,学科,
历史,1787771908110384,纪嘉澍,2024-01-11 16:08,纪嘉澍,2024-01-11 16:08,历史,生效中,学科,
生物,1787773153935363,纪嘉澍,2024-01-11 16:08,纪嘉澍,2024-01-11 16:08,生物,,学科,
化学,1787773117569066,纪嘉澍,2024-01-11 16:08,纪嘉澍,2024-01-11 16:08,化学,生效中,学科,
物理,1787772674531395,纪嘉澍,2024-01-11 16:08,纪嘉澍,2024-01-11 16:08,物理,生效中,学科,
英语,1787771910244473,纪嘉澍,2024-01-11 16:07,纪嘉澍,2024-01-11 16:07,英语,生效中,学科,
数学,1787772820037674,纪嘉澍,2024-01-11 16:07,纪嘉澍,2024-01-11 16:07,数学,生效中,学科,
语文,1787771176000627,纪嘉澍,2024-01-11 15:51,纪嘉澍,2024-01-11 15:51,语文,生效中,学科,
学科,1787769202973756,纪嘉澍,2024-01-11 15:51,纪嘉澍,2024-01-11 15:51,学科,生效中,,
高中,1787770927798363,纪嘉澍,2024-01-11 15:51,纪嘉澍,2024-01-11 15:51,高中,生效中,学段,
初中,1787770040436794,纪嘉澍,2024-01-11 15:51,纪嘉澍,2024-01-11 15:51,初中,生效中,学段,
小学,1787770916541483,纪嘉澍,2024-01-11 15:50,纪嘉澍,2024-01-11 15:50,小学,生效中,学段,
