展示名称,院校名称,院校 ID,院校曾用名,ID,创建人,创建时间,更新人,更新时间
南京航空航天大学,南京航空航天大学,1,,1785687483234362,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
合肥工业大学,合肥工业大学,2,,1785687483243546,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
西北农林科技大学,西北农林科技大学,3,,1785687483238506,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
湖南师范大学,湖南师范大学,4,,1785687483236442,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
苏州大学,苏州大学,5,,1785687483248666,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
西安电子科技大学,西安电子科技大学,6,,1785687483238490,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
河海大学,河海大学,7,,1785687483234330,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
中南财经政法大学,中南财经政法大学,8,,1785687483247642,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
郑州大学,郑州大学,9,,1785687483247658,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
华南师范大学,华南师范大学,10,,1785687483245610,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
西南财经大学,西南财经大学,11,,1785687483232282,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
南昌大学,南昌大学,12,,1785687483243562,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
东华大学,东华大学,13,,1785687483230218,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
上海大学,上海大学,14,,1785687483455504,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
北京化工大学,北京化工大学,15,,1785687483247626,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
贵州建设职业技术学院,贵州建设职业技术学院,16,,1785687483232314,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
毕节医学高等专科学校,毕节医学高等专科学校,17,,1785687483245578,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
黔南民族幼儿师范高等专科学校,黔南民族幼儿师范高等专科学校,18,,1785687483230250,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
铜仁幼儿师范高等专科学校,铜仁幼儿师范高等专科学校,19,,1785687483233322,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
贵阳幼儿师范高等专科学校,贵阳幼儿师范高等专科学校,20,,1785687483235418,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
四川应用技术职业学院,四川应用技术职业学院,21,,1785687483241562,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
成都工贸职业技术学院,成都工贸职业技术学院,22,,1785687483236474,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
四川西南航空职业学院,四川西南航空职业学院,23,,1785687483245594,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
成都工业职业技术学院,成都工业职业技术学院,24,,1785687483246634,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
四川护理职业学院,四川护理职业学院,25,,1785687483235434,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
川南幼儿师范高等专科学校,川南幼儿师范高等专科学校,26,,1785687483234314,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
成都信息工程大学银杏酒店管理学院,成都信息工程大学银杏酒店管理学院,27,,1785687483244570,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
成都信息工程大学,成都信息工程大学,28,,1785687483230234,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
重庆护理职业学院,重庆护理职业学院,29,,1785687483233338,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
重庆资源与环境保护职业学院,重庆资源与环境保护职业学院,30,,1785687483235402,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
洛阳理工学院,洛阳理工学院,31,,1785687483231258,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
北京电子科技学院,北京电子科技学院,32,,1785687483231290,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
德州学院,德州学院,33,,1785687483237498,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
湖南工学院,湖南工学院,34,,1785687483248650,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
湖北医药学院,湖北医药学院,35,,1785687483239530,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
沈阳医学院,沈阳医学院,36,,1785687483233306,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
黄山学院,黄山学院,37,,1785687483241578,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
平顶山学院,平顶山学院,38,,1785687483244602,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
常州工学院,常州工学院,39,,1785687483229210,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
吉林工程技术师范学院,吉林工程技术师范学院,40,,1785687483243530,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
集宁师范学院,集宁师范学院,41,,1785687483246618,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
长沙学院,长沙学院,42,,1785687483239498,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
山东政法学院,山东政法学院,43,,1785687483240538,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
河北北方学院,河北北方学院,44,,1785687483237482,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
