专业名称,专业热度,ID
交通管理工程,169881,1105
公安视听技术,206627,276
刑事科学技术,220904,956
安全防范工程,83583,601
抢险救援指挥与技术,346651,1
数据警务技术,51080,1298
核生化消防,89506,321
海警舰艇指挥与技术,25040,1297
消防工程,186082,1208
火灾勘查,101732,342
网络安全与执法,561700,184
食品药品环境犯罪侦查技术,40845,2638
人居环境科学与技术,58329,1273
历史建筑保护工程,169237,14
城乡规划,731629,308
城市设计,108504,2577
建筑学,1775535,906
智慧建筑与建造,69238,2578
风景园林,627152,803
水质科学与技术,100419,198
环保设备工程,416378,393
环境工程,928072,40
环境生态工程,525997,1037
环境科学,586317,172
环境科学与工程,430719,790
资源环境科学,201520,559
仿生科学与工程,149547,1289
增材制造工程,46382,2661
工业设计,1482860,791
应急装备技术与工程,59184,2710
微机电系统工程,480033,676
新能源汽车工程,267089,1286
智能交互设计,157278,2701
智能制造工程,452691,1287
智能车辆工程,174870,1288
机械工程,1262251,843
机械工艺技术,449118,718
机械电子工程,925014,1130
机械设计制造及其自动化,2986456,182
机电技术教育,144151,557
材料成型及控制工程,449545,1129
汽车服务工程,396439,46
汽车维修工程教育,159066,1187
车辆工程,1499175,808
过程装备与控制工程,413109,85
丝绸设计与工程,31953,1301
服装设计与工程,386762,137
服装设计与工艺教育,194319,1146
纺织工程,213095,47
非织造材料与工程,86512,763
光电信息材料与器件,19780,2671
冶金工程,237808,251
功能材料,403041,884
复合材料与工程,251795,88
复合材料成型工程,29754,1270
宝石及材料工艺学,275241,707
新能源材料与器件,484242,441
无机非金属材料工程,273254,826
智能材料与结构,52211,2561
材料化学,719169,61
材料物理,509546,871
材料科学与工程,958722,142
材料设计科学与工程,51820,1269
焊接技术与工程,205962,661
生物材料,0,2712
粉体材料科学与工程,121850,816
纳米材料与技术,470651,713
金属材料工程,267767,428
高分子材料与工程,697266,50
智能采矿工程,34120,2636
油气储运工程,198237,57
海洋油气工程,343234,519
石油工程,410815,811
矿物加工工程,157448,1102
矿物资源工程,76458,80
碳储科学与工程,545,2692
采矿工程,379056,575
交通工程,408895,262
交通设备与控制工程,477313,1140
交通运输,635533,89
救助与打捞工程,328907,714
智慧交通,91445,2653
智能运输工程,647,2686
航海技术,170057,922
船舶电子电气工程,481149,108
轨道交通电气与控制,122785,1300
轮机工程,282844,659
邮轮工程与管理,21226,1299
飞行技术,215491,472
人工智能,1451521,1308
信息工程,766983,673
光电信息科学与工程,968281,242
医学信息工程,295328,487
广播电视工程,215819,236
应用电子技术教育,127381,642
微电子科学与工程,762074,425
智能测控工程,81101,2655
柔性电子学,95319,2634
水声工程,438550,683
海洋信息工程,79552,2563
电信工程及管理,227462,950
电子信息工程,2518499,91
电子信息科学与技术,1163349,1307
电子封装技术,391904,943
电子科学与技术,1270572,379
电波传播与天线,381448,892
电磁场与无线技术,182377,343
通信工程,1750644,92
集成电路设计与集成系统,832700,283
无人驾驶航空器系统工程,114375,1284
智能飞行器技术,53208,2637
空天智能电推进技术,483,2696
航空航天工程,2690037,104
飞行器制造工程,200144,1060
飞行器动力工程,246217,522
飞行器控制与信息工程,60799,1283
飞行器环境与生命保障工程,80616,121
飞行器设计与工程,358002,970
飞行器质量与可靠性,427080,1226
飞行器运维工程,0,2674
飞行器适航技术,454514,135
智慧水利,613,2658
水利水电工程,391473,107
水利科学与工程,58530,1309
水务工程,118416,291
水文与水资源工程,207836,1117
港口航道与海岸工程,154874,1183
智能感知工程,188415,2560
测控技术与仪器,767535,109
精密仪器,105931,1313
家具设计与工程,104931,1282
木材科学与工程,113337,607
木结构建筑与材料,342,2697
林产化工,134474,992
森林工程,97143,112
工程物理,185575,842
核化工与核燃料工程,129491,119
核工程与核技术,365825,643
辐射防护与核安全,441517,1011
保密技术,118613,1276
信息安全,1087128,576
区块链工程,201402,2568
密码科学与技术,135239,2635
数字媒体技术,1742620,508
数据科学与大数据技术,1103837,1278
新媒体技术,248687,1277
智能科学与技术,620133,997
服务科学与工程,60101,2566
物联网工程,1381306,210
电子与计算机工程,937644,1160
电影制作,130654,1275
空间信息与数字技术,250685,809
网络工程,997334,129
网络空间安全,430100,1274
虚拟现实技术,216179,2567
计算机科学与技术,5565949,178
软件工程,3999147,450
合成生物学,64627,2579
生物制药,757053,168
生物工程,786046,157
制药工程,490271,1023
化学工程与工业生物工程,209781,949
化学工程与工艺,475633,162
化工安全工程,69353,1281
涂料工程,21933,1280
精细化工,73955,1279
能源化学工程,401959,624
资源循环科学与工程,386206,1145
农业工程,157656,312
农业建筑环境与能源工程,114100,753
农业智能装备工程,29765,2572
农业机械化及其自动化,197183,872
农业水利工程,124331,166
农业电气化,393351,407
土地整治工程,51535,1302
光源与照明,276864,226
智慧能源工程,967,2693
智能电网信息工程,645184,698
电动载运工程,0,2676
电机电器智能化,60941,1305
电气工程与智能控制,2931277,340
电气工程及其自动化,3959170,973
电缆工程,54565,1304
能源互联网工程,102582,2633
工业智能,96085,2565
智能工程与创意设计,73703,2711
智能装备与系统,98170,2564
机器人工程,452682,1290
核电技术与控制工程,76113,1292
自动化,1946638,237
轨道交通信号与控制,578583,1133
邮政工程,80484,1291
土木、水利与交通工程,65642,2569
土木、水利与海洋工程,75804,1294
土木工程,2174558,259
