院校名称,院校ID
北京工业大学,1221
北京大学,305
内蒙古大学,790
大连海事大学,1057
哈尔滨工业大学,471
云南大学,1151
长安大学,420
西北大学,418
北京交通大学,421
北京外国语大学,736
中央音乐学院,691
河北工业大学,739
武汉大学,308
北京林业大学,1216
湖南大学,410
中央民族大学,1213
中国人民大学,309
北京航空航天大学,477
北京邮电大学,1149
北京中医药大学,444
辽宁大学,792
西南交通大学,1145
北京师范大学,315
对外经济贸易大学,1218
河北大学,791
河北科技大学,467
河北经贸大学,1170
西安电子科技大学,6
湖南师范大学,4
南开大学,316
天津大学,475
中国海洋大学,1142
郑州大学,9
合肥工业大学,2
滨州医学院,378
德州学院,33
中国科学技术大学,313
安徽大学,784
安徽理工大学,396
安徽工业大学,456
安徽农业大学,1237
济南大学,169
安徽医科大学,1103
同济大学,469
新疆大学,780
上海交通大学医学院,705
上海大学,14
南京航空航天大学,1
天津医科大学,450
天津师范大学,439
天津工业大学,164
天津理工大学,407
天津科技大学,1240
天津财经大学,1231
天津商业大学,170
江南大学,783
天津外国语大学,840
中国民航大学,465
天津中医药大学,394
天津职业技术师范大学,1083
天津城建大学,1080
天津体育学院,507
天津农学院,1088
天津音乐学院,2357
天津美术学院,231
广西大学,1219
兰州大学,413
华南师范大学,10
四川大学,318
四川农业大学,743
西南财经大学,11
厦门大学,473
福州大学,1215
中山大学,317
华南理工大学,409
暨南大学,1147
西北工业大学,408
南昌大学,12
东南大学,474
中国矿业大学,4215
南京大学,312
南京理工大学,1143
南京农业大学,1137
浙江大学,310
南京师范大学,1138
河海大学,7
中国药科大学,734
苏州大学,5
重庆大学,476
中国石油大学(华东),1144
中国地质大学(武汉),422
吉林大学,314
中南大学,470
哈尔滨工程大学,1139
上海交通大学,311
山东大学,472
华中科技大学,319
武汉理工大学,419
延边大学,720
上海财经大学,1148
华东师范大学,478
复旦大学,307
华东理工大学,1141
东北大学,479
东华大学,13
上海外国语大学,1058
东北农业大学,1050
大连理工大学,482
太原理工大学,788
清华大学,306
东北师范大学,416
北京理工大学,480
北京科技大学,417
南京工程学院,958
南京晓庄学院,955
常州工学院,39
南京艺术学院,603
江苏理工学院,209
南京审计大学,1200
淮阴工学院,947
盐城师范学院,125
盐城工学院,355
常州大学,1171
华东交通大学,823
徐州医科大学,751
杭州电子科技大学,448
南京邮电大学,167
江苏科技大学,891
南京中医药大学,155
苏州科技大学,1206
南京财经大学,831
江西理工大学,1098
南京信息工程大学,459
江苏师范大学,146
南京医科大学,729
南京林业大学,726
江苏大学,742
南京工业大学,785
江西农业大学,147
扬州大学,452
江西师范大学,1061
江西财经大学,724
东华理工大学,884
南昌航空大学,1096
重庆医科大学,727
重庆师范大学,461
西南政法大学,442
南京体育学院,109
景德镇陶瓷大学,890
重庆邮电大学,150
江西中医药大学,761
上饶师范学院,222
重庆理工大学,826
辽东学院,997
赣南师范大学,1201
江西科技师范大学,845
长江师范学院,618
宜春学院,943
四川外国语大学,799
九江学院,628
赣南医科大学,4217
四川美术学院,236
井冈山大学,202
重庆三峡学院,1089
石河子大学,443
鲁迅美术学院,1437
中国刑事警察学院,1038
沈阳医学院,36
沈阳体育学院,76
鞍山师范学院,531
辽宁中医药大学,271
沈阳音乐学院,1832
锦州医科大学,1258
大连民族大学,757
沈阳航空航天大学,888
大连海洋大学,488
大连工业大学,1175
沈阳建筑大学,1100
辽宁工业大学,660
渤海大学,756
沈阳化工大学,492
大连外国语大学,971
沈阳理工大学,671
